count;max;time_frame
1223509;2016-01-01 00:00:31.401646;34
1230031;2016-01-04 00:07:42.276393;35
1233276;2016-01-10 12:00:02.987686;36
1235968;2016-01-17 18:03:22.68442;37
1236430;2016-01-24 18:04:37.370966;38
1238873;2016-01-31 00:00:03.018843;39
1259270;2016-02-08 01:19:01.291784;40
1273404;2016-02-15 00:20:27.556806;41
1304485;2016-02-22 01:18:37.131591;42
1314721;2016-02-28 06:12:35.972123;43
1321206;2016-03-07 00:44:29.622728;44
1333206;2016-03-14 00:41:06.498197;45
1333349;2016-03-14 18:45:29.525878;46
1430652;2016-06-23 11:56:54.125993;47
1512784;2016-07-12 10:34:07.524498;48
1588755;2016-07-22 06:08:15.368315;49
1855053;2016-12-01 02:25:39.181858;50
1855053;2016-12-01 02:25:39.181858;51
1861924;2017-05-12 14:51:01.642426;52
2000000;2018-01-31 12:07:54.692959;53
2000000;2018-05-02 12:49:15.699285;54
2000000;2018-05-21 13:16:05.164207;55
2951000;2018-09-06 13:16:05.164207;56
